,ad_creative_body,count
87,"Your support for President Trump has never been more important than it is RIGHT NOW.

Along with the rest of the world, our Nation is facing unprecedented challenges at the hands of the Coronavirus, and having the strength of a leader who is willing to put America First is absolutely paramount at a time like this.

Please take the Official Trump Approval Poll before 11:59 PM TONIGHT to tell President Trump what you think.",4297
88,"We can't trust what the Fake News media says, and we're not about to start now. We all know they are pro-socialism and totally biased against President Trump. We are launching the Official Trump 2020 Super Tuesday Exit Poll, and President Trump wants to hear YOUR response. Please take our Official Trump 2020 Super Tuesday Exit Poll in the NEXT HOUR to make sure President Trump sees your response.",4287
89,"WE NEED YOUR INPUT. Respond now to our Official Women for Trump Priorities Survey. 

President Trump has never stopped delivering on his promises to: 

✅ PROTECT the unborn 
✅Provide PAID family leave for working parents 
✅Call on Congress to pass school CHOICE legislation 
✅Improve our nation's HEALTHCARE and EDUCATIONAL opportunities 
✅Fight to support for women EVERY DAY 

Please take our Official Women for Trump Priorities Survey by 11:59 PM TONIGHT to make sure your input is received.",4231
90,"SUPPLIES RUNNING LOW!

Shop our EXCLUSIVE Trump-Pence 2020 Mug.

Order now while supplies last!",4170
91,"Justice Ruth Bader Ginsburg was an amazing woman who led an amazing life. The President is right, we have an obligation to fill the vacancy on the Supreme Court, without delay!

At this critical moment, he’s counting on his STRONGEST supporters, like YOU, to step up and Make America Great Again!

FOR THE NEXT HOUR: ALL GIFTS 800%-MATCHED!",4165
92,"HIGH SELLOUT RISK!

Shop our EXCLUSIVE Trump-Pence 2020 Mug.

Order now while supplies last!",4129
93,"Here’s the truth - If you want your children to inherit the blessings that generations of Americans have fought and died to secure, then we must devote everything we have toward victory in 2020. 

Only this way can we save the America we love – and drain the Washington Swamp once and for all.

Please contribute ANY AMOUNT in the NEXT HOUR to our Drain the Swamp Fund and to get on the list my team hands me.",4120
94,"Every other Patriot claimed theirs.

President Trump's just waiting on you!",4098
95,"DEMOCRATS HAVE LOST THEIR MINDS.

Joe Biden’s supporters are pushing to ""DEFUND THE POLICE” and violent crime has EXPLODED.

We can’t stand by while these anarchists destroy our country!

Learn more about why Sleepy Joe is DANGEROUS for America.",4063
96,President Trump wants to be able to show Senate Democrats a list of the many American voters that will NOT be happy if the wall isn’t built. He needs YOUR NAME on the list. Sign our Official Petition to the Senate now!,3984
